City,State,Country,Plant_Type,Product,Latitude,Longitude
"Miami","Florida","United States","Latin American Regional Sales Office","","25.77508","-80.1947"
"Phoenix","Arizona","United States","Proving Ground","Trucks, Agricultural Equipment, Payline","33.4482","-112.07258"
"Richmond","California","United States","Parts Distribution Center","","37.93786","-122.34315"
"Rock Island","Illinois","United States","Factory","Farm Tractors","41.47235","-90.58357"
"Schaumburg","Illinois","United States","Headquarters","Payline Group","42.02625","-88.0697"
"Schaumburg","Illinois","United States","Engineering Center","Industrial Equipment","42.02625","-88.0697"
"San Diego","California","United States","Headquarters","Solar Turbines International Group","32.71576","-117.16382"
"San Diego","California","United States","Factory","Turbines","32.71576","-117.16382"
"San Diego","California","United States","Factory","Drive Packages","32.71576","-117.16382"
"San Diego","California","United States","Factory","Components","32.71576","-117.16382"
"San Diego","California","United States","Headquarters","Solar Turbines International Co.","32.71576","-117.16382"
"San Diego","California","United States","Headquarters","Solar Turbines Ltd.","32.71576","-117.16382"
"San Diego","California","United States","Product Support Center","","32.71576","-117.16382"
"St. Paul","Minnesota","United States","Parts Distribution Center","","44.94372","-93.09428"
"Shadyside"," Ohio","United States","Factory","Sheet Metal Stampings for Trucks","39.97075","-80.74941"
"Springfield","Ohio","United States","Factory","Trucks,Truck Bodies","39.92458","-83.81014"
"Springfield","Missouri","United States","Payline Remanufacturing Center","Engines,Components","37.21552","-93.29236"
"Wagoner","Oklahoma","United States","Factory","Heavy Trucks","35.95979","-95.3779"
"Waukesha","Wisconsin","United States","Foundry","","43.0128","-88.23509"
"West Chicago","Illinois","United States","Parts Distribution Center","","41.88466","-88.2049"
"Westmont","Illinois","United States","Printing and Distribution Center","","41.79526","-87.97532"
"Caracas","","Venezuela","Headquarters","Indistria zvenezolana de Maquinanas S.A.","10.1825","-67.97962"
"Caracas","","Venezuela","Factory","Trucks","10.1825","-67.97962"
